I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,O1,O2,O3,O4,O5,O6
0.356341185394476,0.413255159854691,0.68702706633138,0.634309388632489,0.436377949335433,0.655898684012311,0.648818671703339,2.81548666954041,-0.195166766643524,-0.316993832588196,-0.916886031627655,0.022563548758626,0.241509467363358,0.545011704287727,0.32250826452899,0.829137073924274,0.830415233617062,0.47472888076491,0.992495443694768
0.779184923192628,0.00324466962610131,0.127390253092653,0.748959762170987,0.479078003696908,0.0538469331882298,-1.10785293579102,2.15418004989624,0.254099547863007,0.00499807903543115,-0.551978588104248,-0.829185605049133,-0.0880138427019119,0.00645339022121844,0.195102236156855,0.827861756690455,0.30955655269236,0.023041096633311,0.0444718916853453
0.0888118848323891,0.517764521453389,0.439631773128443,0.0909209299038619,0.903015719748597,0.296734885076379,-1.28247690200806,1.81939792633057,-0.942625999450684,0.29123592376709,-0.719858586788177,0.209329500794411,-0.594278573989868,0.409584576522591,0.419749562867888,0.295180504819267,0.246102466317605,0.110052583577097,0.438217449690915
0.868422973871871,0.778146503319943,0.647488226461746,0.808784206270988,0.213439585576908,0.75009427558067,-1.47128367424011,2.50658488273621,0.673941969871521,0.359219431877136,-0.457695245742798,0.306852757930756,0.753205358982086,0.570746604162848,0.446348745694626,0.480955184853373,0.541657142347155,0.572102242740414,0.848453398569227
0.947147466436262,0.0771660649819495,0.212824988929402,0.180832631038092,0.359678220910583,0.323012538329692,0.225976556539536,2.39276099205017,-0.901415646076202,-0.407532244920731,-0.908176720142365,2.13212115340866E-05,-0.0955681875348091,0.240397323476612,0.245561589936164,0.34753544014307,0.281696495165774,0.0997190538302915,0.595745133774943
0.713731525761765,0.0352517372233067,0.677009555434383,0.933378789001975,0.576475544541951,0.256770102289669,0.0183310955762863,2.76918768882751,-1.27537882328033,-0.682665824890137,-0.669370770454407,0.261651664972305,0.132096484303474,0.274129331146155,0.545900885475155,0.700314743645932,0.387186947380768,0.0919307257629202,0.0261040715894874
0.557915866491055,0.664238448030268,0.998647309531643,0.527784891293439,0.0675795988534298,0.225345009920849,0.254647195339203,3.04772233963013,-0.096438392996788,0.0629715844988823,0.974642992019653,0.0101939281448722,-0.214481353759766,0.563364080567391,0.273974011365435,0.692267756499209,0.0683856765648556,0.487532548412551,0.112661614603551
0.934787177003209,0.999459520059088,0.551533633558084,0.305141985064288,0.950736372935977,0.692363488238225,-0.164245381951332,2.969722032547,-0.142912924289703,-0.47730764746666,0.486982405185699,0.15579017996788,0.714672088623047,0.294337109289474,0.409099505641501,0.79589531255514,0.555452895280813,0.150543310809874,0.157710809039679
0.561602878393418,0.867426968790275,0.349421454534278,0.451161186820977,0.279685794907315,0.943882332539893,0.410034418106079,0.509444057941437,-1.0316948890686,-0.828680872917175,0.0737509205937386,0.49380698800087,0.252990812063217,0.173589252925313,0.585214665782353,0.114093298104736,0.368725947488412,0.64987371321798,0.11158297598164
0.690186118855154,0.832888491743479,0.576455314057781,0.602177309528333,0.589358254553363,0.893116459655022,-1.08777904510498,1.69948697090149,-0.769026160240173,-0.247483283281326,-0.0750270932912827,-0.486922860145569,-0.834283947944641,0.877518053517566,0.175880670470218,0.957520593019775,0.68855606110087,0.875353692806643,0.0943010041516165